holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Білик-Томашек Маріанна Андріївна ФОП,Сихівський,Червоної Калини,57,20.9,С-9967-16,09.02.2016,09.02.2019,249.87
Білінчук Б. М.,Личаківський,Грибова,5,42.5,Л-9452-15,27.02.2015,26.02.2018,504.29
Білохвастова Н. В.,Шевченківський,Миколайчука I.,9,5,Ш-9617-15,03.06.2015,02.06.2018,75.73
БІОМЕД ТзОВ ЛНПЦ,Сихівський,Драгана М.,7,249.3,С-9139-14(Д-15)-1,30.07.2015,17.08.2017,768.87
БІОМЕД ТзОВ ЛНПЦ,Сихівський,Червоної Калини,68,21.5,С-9615-15,03.06.2015,02.06.2018,124.42
Біомед ТзОВ Франчайзингова компанія,Сихівський,Червоної Калини,68,21.5,С-43-16суб,18.11.2016,02.06.2018,130.73
БІШ КОМПАНІ,Сихівський,Червоної Калини,57,174.3,С-9934-15,22.12.2015,21.12.2018,2448.49
"Благодійна організація ""Фонд Горіховий дім""",Личаківський,Личакiвська,90,148.8,Л-10464-17,06.02.2017,01.02.2020,2747.06
Благодійний Фонд ім. Ісидора Виммера,Галицький,Коцюбинського М., 17а,46.7,Г-9750-15,18.08.2015,17.08.2018,435.19
Блощичак М. С.,Личаківський,Козланюка П.,23,16.2,Л-9404-15,29.01.2015,28.01.2018,202.9
Бобеляк Оксана Миколаївна ФОП,Сихівський,Червоної Калини,109,13.7,С-9023-14,19.05.2014,15.05.2017,369.66
Бодак Надія Василівна ФОП,Шевченківський,Лемкiвська,28,18.9,Ш-45-16суб,28.11.2016,30.06.2018,405.27
Боднар Л. А.,Франківський,Кременецька,14,19.4,Ф-8981-14,02.04.2014,30.03.2017,160.3
Боренько Р. Й.,Галицький,Рутковича I.,5,25.1,Г-9985-16,29.02.2016,24.02.2019,390.81
БОРСТА ВК фірма ПП,Франківський,Горської А.,2,22.6,Ф-8491-12,16.11.2012,16.11.2017,1008.74
Братство бджолярів України ЛОО ВГО,Галицький,Стецька Я.,11,70,Г-9411-15,09.02.2015,08.02.2018,3389.45
Брунець Л.Я.,Шевченківський,Пiд Голоском,15,11.4,Ш-6080-8,28.03.2008,27.03.2017,194.24
Бубняк Е.Г.,Личаківський,Левицького К.,26,17.5,Л-9264-14,28.11.2014,27.11.2017,288.05
Будівництво РСВ ТзОВ,Франківський,Кульпаркiвська,151,421.4,Ф-10508-17,01.03.2017,23.02.2020,53640
Буйвідт О. Б.,Личаківський,Зелена,19,11.7,Л-10348-16,23.12.2016,22.12.2019,68.41
Букрей М. Р.,Галицький,Саксаганського П.,5,27.6,Г-9663-15,25.06.2015,24.06.2018,2516.66
Буличова А.О.,Личаківський,Павлика М.,5,18,5259,23.12.1994,  Безтерміновий  ,286.98
Бурик М. М.,Галицький,Словацького Ю.,3,22.7,Г-9535-15,15.04.2015,13.04.2018,2190.18
Бурковський Т.М.,Галицький,Франка I.,126,25.5,Г-8314-12,31.05.2012,31.05.2017,191.35
ВАМ ЛТД  ТзОВ,Шевченківський,Порiчкова, 4а,66.3,Ш-6094-8,24.03.2008,25.07.2018,590.16
Васильцiв Б.П.,Личаківський,Слiпого Й.,19,18.7,Л-8184-12,16.03.2012,16.03.2017,186.35
Василюк О.А.  СПД,Галицький,Ринок пл.,31,36.4,Г-8867-13,22.11.2013,18.11.2016,1 грн. в рік
Ваславик І. В.,Сихівський,Хоткевича Г.,62,5.9,С-10181-16,05.07.2016,04.07.2019,176.45
