holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Головне управління Міністерства внутрішніх справ у,Шевченківський,Промислова,6,261.9,Ш-8885-13,16.12.2013,12.12.2023,1 грн. за кв. м. в рік
Головне управління Міністерства внутрішніх справ у,Сихівський,Червоної Калини,66,1501.3,С-7624-10,04.11.2010,02.11.2059,Безоплатне використ.
Головне управління нац. поліції у Львівській обл.,Франківський,Айвазовського I.,10,38.1,Ф-10280-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Сихівський,Бiлоцеркiвська, 2а,40.5,С-10253-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Величковського I.,38,134.2,Ш-10276-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Галицький,Винниченка В.,2,624,Г-10262-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Галицький,Вітовського Д.,9,54,Г-10259-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Франківський,Володимира Великого,5,41.7,Ф-10257-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Грiнченка Б.,8,60.1,Ш-10268-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Замарстинiвська,84,14.9,Ш-10278-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Замарстинiвська,86,17.9,Ш-10277-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Галицький,Коперника М.,19,30.2,Г-10263-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Галицький,Лепкого Б.,16,127.1,Г-10354-16,26.12.2016,25.12.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Личаківський,Личакiвська,223,43.2,Л-10273-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Личаківський,Личакiвська,62,35.2,Л-10272-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Галицький,Мартовича Л.,3,318.1,Г-10414-16,30.12.2016,29.12.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Залізничний,Мисливська,27,27.3,З-10251-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Окуневського Т.,3,41.2,Ш-10275-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Личаківський,Пасiчна,64,29.5,Л-10274-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Личаківський,Пекарська,38,71.9,Л-10271-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Залізничний,Петлюри С., 2а,33.3,З-10357-16,30.12.2016,25.12.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Залізничний,Петлюри С.,36,36.4,З-10355-16,30.12.2016,25.12.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Залізничний,Повiтряна,28,95.3,З-10258-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Франківський,Федьковича Ю.,15,55,Ф-10254-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Шевченківський,Хмельницького Б.,113,45.6,Ш-10279-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Сихівський,Хоткевича Г., 16а,57.5,С-10252-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Головне управління нац. поліції у Львівській обл.,Сихівський,Хуторiвка,24,30.3,С-10260-16,25.11.2016,24.11.2019,1 грн. за кв. м. в рік
Гончарук А.В.,Франківський,Вербицького М.,12,29.7,Ф-10460-17,31.01.2017,29.01.2020,261.61
Горбалюк Т. Б.,Личаківський,Пiскова,7,50.6,Л-9928-15,18.12.2015,17.12.2018,848.59
Горбачевський Ю.А.,Галицький,Ляйнберга С.,5,29.4,Г-10322-16,09.12.2016,09.12.2021,313.74
Горбунов Максим Олегович ФОП,Сихівський,Червоної Калини,82,5.4,С-9099-14,16.07.2014,15.07.2017,362.81
Гордiєнко В.К.,Личаківський,Верхратського I.,4,31.9,Л-9892-15,29.10.2015,28.10.2018,357.78
Горобець В. В.,Галицький,Курбаса Л.,9,21.4,Г-9410-15(Д-15),20.07.2015,08.02.2018,247.32
Городецька О. О.,Залізничний,Степанiвни О., 12б,33.4,З-9153-14,08.09.2014,03.09.2017,387.42
ГОРОДОЦЬКЕ,Залізничний,Городоцька,72,87.5,З-4394-6,06.06.2006,06.06.2018,109761.95
Горуйко А. Є.,Франківський,Єфремова С. акад.,31,28,Ф-10127-16,26.05.2016,25.05.2019,382.13
Гошоватюк Ю. Я.,Личаківський,Кармелюка У., 11а,24,Л-10164-16,24.06.2016,23.06.2019,120.31
Гошовський Л.В.,Галицький,Менделеєва Д.,5,21.4,106,12.04.1993,20.12.2019,53.75
Грабінська С. З.,Сихівський,Антонича Б.-I.,22,5.5,С-9515-15,31.03.2015,26.03.2018,785.33
Грабінська С.З.,Сихівський,Вернадського В.,14,5.5,С-9751-15,19.08.2015,17.08.2018,1028.47
Грабінська С. З.,Сихівський,Полуботка П. гетьмана,13,2.4,С-9514-15,01.04.2015,26.03.2018,309.2
Грабович Т. Б.,Сихівський,Антонича Б.-I.,28,5.5,С-10044-16,12.04.2016,07.04.2019,589.72
Грабович Т. Б.,Франківський,Кульпаркiвська,141,10.6,Ф-9426-15,21.02.2015,16.02.2018,855.65
Гражина  перукарня,Залізничний,Фабрична,1,34.4,З-9539-15,22.05.2015,21.05.2018,2437.46
ГРАК ТзОВ,Галицький,Староєврейська,31,86.3,Г-5556-7,14.09.2007,10.09.2019,14374.43
ГРЕКО-КАТОЛИЦЬКА  СПІЛКА М АНДРЕЯ ШЕПТИЦЬКОГО ім.,Франківський,Боберського I.,10,25.8,Ф-10084-16,26.04.2016,26.04.2021,349.86
Гречник Б. Й.,Залізничний,Городоцька,263,13,743,16.06.1993,21.12.2019,93.46
Григораш В. М.,Франківський,Гвардiйська, 5ц,20.6,Ф-9766-15,26.08.2015,25.08.2018,310.95
Григорук Б. А.,Франківський,Чупринки Т. ген.,31,28.5,Ф-9844-15,02.10.2015,01.10.2018,354.92
Григорук Т. А.,Галицький,Коцюбинського М.,19,59,Г-10432-17,11.01.2017,10.01.2020,552.13
Грицай Юрій Михайлович ФОП,Залізничний,Кузнярiвка,37,295,З-10402-16,03.01.2017,28.12.2019,11977.62
Грицак А.Й,Личаківський,Тарнавського М. ген.,14,40.6,5098,15.03.1994,25.02.2018,118.54
Грицевич Роман Євгенович ФОП,Шевченківський,Миколайчука I.,9,25.1,Ш-7282-9,11.09.2009,30.01.2017,545.47
Громада та ініціатива ГО,Личаківський,Личакiвська,70,25.4,Л-9749-15,19.08.2015,17.08.2018,487.45
Губанiй Т. П.,Личаківський,Корольова С.,5,18,3113,22.12.1993,  Безтерміновий  ,223.69
Гудь Тарас Миколайович ФОП,Залізничний,Залiзнична,12,143,З-10452-17,27.01.2017,26.01.2020,9802.66
Гук-Фіголь О. В.,Личаківський,Івасюка В.,13,46.6,Л-9482-15,10.03.2015,09.03.2018,629.86
Гула Галина Валеріївна ФОП,Шевченківський,Лемкiвська,28,25.5,Ш-9367-15,19.01.2015,18.01.2018,384.64
Гула Галина Валеріївна ФОП,Франківський,Симоненка В.,4,20.3,Ф-9368-15,19.01.2015,18.01.2018,302.16
Гула Галина Валеріївна ФОП,Сихівський,Червоної Калини,68,30.2,С-10321-16,09.12.2016,08.12.2019,401.05
Гула Ірина Рославівна ФОП,Сихівський,Червоної Калини,68,18,С-10363-16,26.12.2016,25.12.2019,250.78
Гуменюк А. Д.,Личаківський,Пiскова,50,35.8,Л-9204-14,09.10.2014,08.10.2017,305.42
Гунц Д. Т.,Личаківський,Козланюка П.,5,29.9,Л-9670-15,02.07.2015,29.06.2018,350.23
Гунчак Лілія Дмитрівна ФОП,Галицький,Сiчових Стрiльцiв,8,14.4,Г-10436-17,11.01.2017,10.01.2020,3406.43
Гунько Т.С.,Личаківський,Мечникова I.,23,21.3,1146,05.05.1997,05.06.2010,595.41
Гурка А. О.,Франківський,Героїв УПА(кол.Тургенєва),45,14.1,Ф-10365-16,26.12.2016,25.12.2019,167.09
Давиденко Л. І.,Франківський,Карпинця I.,19,39.1,Ф-10039-16,06.04.2016,05.04.2019,638.56
Давиденко О. Б.,Шевченківський,Шевченка Т., 70а,41.6,Ш-9483-15,10.03.2015,09.03.2018,506.91
ДАМІЯ,Франківський,Пулюя I.,29,227,Ф-10007-16,03.03.2016,02.03.2019,13584.07
Данилович М.М.,Личаківський,Садовського М.,10,40.7,Л-10380-16,26.12.2016,25.12.2019,239.08
ДАНКО,Галицький,Дорошенка П.,29,44.1,Г-9006-14,18.04.2014,17.04.2017,1121.5
Даре ТзОВ,Личаківський,Хмельницького Б.,146,60.1,Л-8188-12,22.03.2012,28.02.2017,6146.87
ДАРИ ЛЬВІВЩИНИ,Личаківський,Хмельницького Б.,163,51.6,Л-7827-11,02.06.2011,30.04.2016,5823.23
Дащенко О.В.,Залізничний,Степанiвни О.,5,32.4,З-6515-8,21.08.2008,20.08.2014,722.81
ДЕКАДА-2000 ТзОВ,Залізничний,Виговського I.,32,33.1,З-9943-15,01.01.2016,31.12.2018,220.02
ДЕКАДА-2000 ТзОВ,Шевченківський,Мазепи I. гетьмана,25,30.9,Ш-9603-15,03.06.2015,02.06.2018,236.39
ДЕКАДА-2000 ТзОВ,Шевченківський,Миколайчука I.,9,18.9,Ш-9214-14,16.10.2014,15.10.2017,105.85
ДЕКАДА-2000 ТзОВ,Шевченківський,Миколайчука I.,9,38,Ш-9506-15,25.04.2015,24.04.2018,333.52
ДЕКАДА-2000 ТзОВ,Сихівський,Навроцького В.,23,18,С-9246-14,07.11.2014,06.11.2017,158.28
ДЕКАДА-2000 ТзОВ,Сихівський,Навроцького В.,23,26.3,С-9245-14,07.11.2014,06.11.2017,142.62
ДЕКАДА-2000 ТзОВ,Залізничний,Повiтряна,99,18,З-10233-16,22.11.2016,21.11.2017,110.22
ДЕКАДА-2000 ТзОВ,Шевченківський,Рапопорта Я.,8,18.8,Ш-8990-14(Д-17),26.01.2017,03.04.2017,612.67
ДЕКАДА-2000 ТзОВ,Франківський,Симоненка В.,4,30.2,Ф-9487-15,10.03.2015,09.03.2018,276.6
ДЕКАДА-2000 ТзОВ,Галицький,Ужгородська,1,18.3,Г-9602-15,03.06.2015,02.06.2018,151.42
ДЕКАДА-2000 ТзОВ,Сихівський,Червоної Калини,68,30.4,С-9064-14(Д-16),10.02.2016,24.06.2017,199.57
ДЕКАДА-2000 ТзОВ,Франківський,Чупринки Т. ген.,43,18.7,Ф-9975-16,10.02.2016,09.02.2019,122.77
Демкiв Р.В.,Галицький,Балабана М.,29,12.6,Г-10465-17,02.02.2017,01.02.2020,123.1
Департамент адміністративних послуг ЛМР,Шевченківський,Шевченка Т.,374,120.2,Ш-10463-17,02.02.2017,01.02.2020,1 грн. в рік
Департамент житлового господарства та інфраструкту,Франківський,Сахарова А. акад.,2,114.5,Ф-10382-16,26.12.2016,25.12.2019,1 грн. за кв. м. в рік культура
"Департамент з питань культури,націо-стей та релігі",Личаківський,Смольського Г.,10,42.8,Л-10325-16,14.12.2016,14.12.2017,1 грн. за кв. м. в рік
Дерейко Н. С.,Галицький,Шевченка Т. просп.,24,3.1,Г-9083-14,03.07.2014,02.07.2017,93.13
Держ. служба з лік. засобів та контролю за наркоти,Франківський,Кульпаркiвська,131,133.7,Ф-9719-15(Д-16),26.12.2016,27.07.2018,1 грн. за кв. м. в рік
Державна фінансова інспекція у Львівській області,Личаківський,Костюшка Т.,6,190.5,Г-10131-16,31.05.2016,30.05.2019,1 грн. за кв. м. в рік
Державна фітосанітарна інспекція Львівської област,Шевченківський,Замарстинiвська,49,27.9,Ш-2987-5(3),10.06.2005,10.06.2030,82.18
Державний мiський архiв,Галицький,Дорошенка П.,23,185.2,6276,21.04.1994,31.12.1996,1 грн. в рік
Державний ощадний банк України ПАТ Львівська філі,Залізничний,Городоцька,52,30.5,З-10247-16,25.11.2016,24.11.2019,9574.1
Державний ощадний банк України ПАТ Львівська філі,Сихівський,Днiстерська,12,44.5,С-10245-16,25.11.2016,24.11.2019,9962.6
Державний ощадний банк України ПАТ Львівська філі,Личаківський,Личакiвська,183,34.7,Л-9973-16,10.02.2016,09.02.2019,7688.38
Державний ощадний банк України ПАТ Львівська філі,Шевченківський,Мазепи I. гетьмана,11,38.3,Ш-10246-16,25.11.2016,24.11.2019,9793.87
Державний ощадний банк України ПАТ Львівська філі,Галицький,Менцинського М.,12,46.1,Г-9970-16,10.02.2016,09.02.2019,20127.78
Державний ощадний банк України ПАТ Львівська філі,Галицький,Свободи просп.,24,80.3,Г-10290-16,25.11.2016,24.11.2019,97361.92
Державний ощадний банк України ПАТ Львівська філі,Сихівський,Сихiвська,11,88.4,С-9957-16,19.01.2016,14.01.2019,18856.27
Державний ощадний банк України ПАТ Львівська філі,Сихівський,Угорська,9,52.8,С-9972-16,10.02.2016,09.02.2019,11498.26
Державний ощадний банк України ПАТ Львівська філі,Галицький,Франка I.,91,25.9,Г-9974-16,10.02.2016,09.02.2019,8168.04
Державний ощадний банк України ПАТ Львівська філі,Сихівський,Червоної Калини,61,103.3,С-9971-16,10.02.2016,09.02.2019,21762.02
ДЖЕРЕЛО магазин ДП,Залізничний,Степанiвни О.,1,37.2,711,15.06.1993,  Безтерміновий  ,658.55
Джінорідзе Лілія Віталіївна СПДФО,Шевченківський,Миколайчука I.,9,75.8,Ш-9380-15,26.03.2015,25.03.2018,442.21
Дзвін редакція журналу в-во Червона Калина ДП,Галицький,Князя Романа,6,133.5,Г-20-15-суб,03.12.2015,04.08.2018,1 грн. в рік
Дзерин О.I.,Личаківський,Руставелi Ш.,10,12.5,Л-2014-4,31.03.2004,31.03.2019,105.51
ДЗИГА  МИСТЕЦЬКЕ ОБ'ЄДНАННЯ  ТзОВ,Галицький,Вiрменська,35,477.6,Г-7212-9,03.07.2009,03.07.2016,36711.83
ДЗИГА  МИСТЕЦЬКЕ ОБ'ЄДНАННЯ  ТзОВ,Галицький,Гонти I.,8,169.7,Г-6782-8,20.11.2008,20.11.2018,6627.97
Диба Ю.Р.,Франківський,Тургенєва I.,36,35.2,Ф-4718-6,04.10.2006,21.09.2016,250.9
ДИВОСИЛ-ЗДОРОВ'Я МОЛОДІЖНИЙ СПОРТИВНО-ОЗДОРОВЧИЙ К,Шевченківський,Грiнченка Б., 4а,117.7,Ш-5351-7,25.05.2007,22.05.2016,1 грн. за кв. м. в рік освіта
Дитяча книга ТзОВ,Галицький,Театральна,5,49.7,Г-10510-17,24.02.2017,23.02.2020,1 грн. в рік
Дитяча музична школа № 1 ім.  А. Кос-Анатольського,Галицький,Гнатюка В. акад., 5/7,1015.3,Г-10328-16,14.12.2016,13.12.2019,1 грн. в рік
Дитяча музична школа № 6 Львівська державна,Галицький,Гнатюка В. акад., 5/7,763.5,Г-10327-16,14.12.2016,13.12.2019,1 грн. в рік
Дитяча хореографічна  школа,Галицький,Дорошенка П.,63,972.7,6207,15.03.1994,01.10.2005,1 грн. в рік
Діамант,Галицький,Катедральна пл.,8,132.6,Г-10319-16,08.12.2016,03.12.2026,39684.42
Діамант,Галицький,Театральна,3,27.5,Г-8080-11,27.12.2011,24.12.2017,534.55
Діамед центр ТзОВ,Франківський,Симоненка В.,4,95.8,Ф-9740-15,07.08.2015,07.08.2020,1198.67
"ДІТИ ЧОРНОБИЛЯ ЛЬВІВЩИНИ""ЛЬВІВСЬКИЙ ОБЛАСНИЙ БЛАГО",Сихівський,Кавалерiдзе I.,8,37.8,6319,10.05.1994,  Безтерміновий  ,297.36
Дніпропетровський національний університет залізни,Галицький,Снопкiвська,47,6176.9,Г-8860-13,12.11.2013,07.06.2021,1 грн. за кв. м. в рік
ДНІСТЕР  ВАТ СКБ,Галицький,Галицька пл.,15,215.7,17,12.10.2016,01.08.2019,108719.8
Добрик О. С.,Франківський,Чупринки Т. ген.,43,7.6,Ф-10489-17,16.02.2017,15.02.2020,55.5
Добрик О. С.,Франківський,Чупринки Т. ген.,61,2.2,Ф-9076-14,27.06.2014,26.06.2017,17.16
Добровольська С.Ю.,Сихівський,Карманського П.,2,39.9,С-6090-8,28.03.2008,23.03.2017,580.46
ДОВІРА Тов.ЗАХИСТУ НЕПОВНОСПРАВНИХ ДІТЕЙ ТА ІНВАЛІ,Шевченківський,Мазепи I. гетьмана,11,36.4,Ш-8658-13,29.04.2013,29.04.2023,457.23
ДОВІРА Тов.ЗАХИСТУ НЕПОВНОСПРАВНИХ ДІТЕЙ ТА ІНВАЛІ,Франківський,Пулюя I.,29,230.3,Ф-7793-11,29.12.2011,18.04.2021,1213.73
ДОЙЧЕ ЮГЕНД ЛО НІМЕЦЬКА МОЛОДІЖНА ОРГАНІЗАЦІЯ,Галицький,Глiбова Л.,3,45.1,Г-8996-14,08.04.2014,08.04.2019,107.87
Долинська Л.А.,Франківський,Бандери С.,49,19.3,58,01.04.1987,  Безтерміновий  ,52.26
Домашній магазин ПП,Франківський,Бандери С., 47а,57.8,Ф-1060(Д-11),22.02.2011,04.10.2019,1736.49
Дорожні речі  КП,Галицький,Городоцька,7,56.2,Г-9315-14,24.12.2014,24.12.2019,17607.4
Дорожня станція переливання крові Львівської заліз,Залізничний,Залiзнична,28,363.8,З-9667-15,25.06.2015,24.06.2018,1 грн. за кв. м. в рік
ДП Бондарівка ЛКП Зелений Львів,Личаківський,Пластова,125,576,Л-9046-14,11.06.2014,10.06.2017,1 грн. в рік
"Друга дистанція сигналізації і зв""язку м.Львів Від",Франківський,Окружна,31,17.1,Ф-5834-7,05.12.2007,02.12.2016,2330.43
Дудник В. Ф.,Личаківський,Родини Крушельницьких,24,18.4,Л-9144-14,26.08.2014,25.08.2017,180.43
Дукат Компанія ПП,Шевченківський,Кушевича С.,1,60.2,Ш-10000-16,01.03.2016,28.02.2019,265.68
Дулюк Оксана Валеріївна ФОП,Сихівський,Червоної Калини,109,37,С-10396-16,28.12.2016,28.12.2021,4900.05
ЕДЕЛЬВЕЙС ПРИВАТНЕ ТОРГОВЕЛЬНО-ПОСЕРЕДНИЦЬКЕ МАЛЕ,Шевченківський,Миколайчука I.,9,35.2,Ш-7298-9,08.10.2009,08.10.2019,219.12
ЕДЕЛЬВЕЙС ПРИВАТНЕ ТОРГОВЕЛЬНО-ПОСЕРЕДНИЦЬКЕ МАЛЕ,Сихівський,Червоної Калини,57,22.2,С-9102-14,16.07.2014,15.07.2017,104.82
Екологічний захист громади ГО,Франківський,Труша I.,8,33.3,Ф-9718-15,28.07.2015,27.07.2018,771.22
Економічна просвіта БФ,Франківський,Пулюя I.,27,282.4,Ф-9894-15,29.10.2015,28.10.2018,1 грн. в рік освіта
Експрес Груп ТзОВ,Франківський,Володимира Великого, 5а,622.2,Ф-8565-13,26.02.2013,21.02.2023,7082.8
Експрес-Бліц ТзОВ,Франківський,Бандери С.,85,13.4,Ф-9456-15,02.03.2015,01.03.2018,458.47
Експрес-Бліц ТзОВ,Франківський,Горбачевського I.,15,58.3,Ф-9447-15,27.02.2015,26.02.2018,1106.5
Експрес-Бліц ТзОВ,Франківський,Зерова М.,6,13.4,Ф-9460-15,02.03.2015,01.03.2018,452.38
Експрес-Бліц ТзОВ,Франківський,Кульпаркiвська,5,21.5,Ф-9446-15,27.02.2015,26.02.2018,368.02
Експрес-Бліц ТзОВ,Франківський,Федьковича Ю.,15,18.1,Ф-9457-15,02.03.2015,01.03.2018,630.6
ЕЛЕГІЯ,Шевченківський,Грiнченка Б., 6б,159.7,Ш-8396-12,08.08.2012,08.08.2017,3887.45
Елпіс ТзОВ,Шевченківський,Мазепи I. гетьмана,25,18,Ш-10019-16,22.03.2016,21.03.2019,117.84
Елпіс ТзОВ,Шевченківський,Миколайчука I.,9,18.7,Ш-10297-16,29.11.2016,30.12.2019,125.47
Елпіс ТзОВ,Личаківський,Хмельницького Б.,195,269.7,Л-8256-12(Д-15),27.02.2015,08.05.2017,5290.19
Енергія ТзОВ,Галицький,Козельницька,5,40.7,Г-8971-14,28.02.2014,27.02.2019,4460.46
Енергія ТзОВ,Сихівський,Козельницька,5,26.8,С-10388-16,27.12.2016,27.12.2026,3997.64
Ерудит ПП,Личаківський,Зелена, 95а,488.7,Л-9693-15,10.07.2015,09.07.2018,1 грн. в рік освіта
Ерудит ПП,Личаківський,Лисенка М.,39,334.7,Л-9991-16,26.02.2016,25.02.2019,1 грн. в рік освіта
Ерудит ПП,Франківський,Ревуцького Л.,9,353.3,Ф-9959-16,22.01.2016,21.01.2019,1 грн. в рік освіта
Ескулаб перша соціальна медична лабораторія ПП,Франківський,Симоненка В.,4,25,Ф-9818-15,25.09.2015,23.09.2018,326.71
Ехокор ПП,Сихівський,Навроцького В.,23,17.4,С-9378-15,21.01.2015,20.01.2018,254.79
Євроклінік Медичний центр ТзОВ,Шевченківський,Миколайчука I.,9,299.2,Ш-8750-13(Д-16),16.12.2016,27.04.2022,3418.16
Євролаб ПП,Франківський,Симоненка В.,4,13.2,Ф-9498-15,12.03.2015,11.03.2018,184.78
ЄВРОЦЕНТР ТзОВ,Галицький,Бандери С.,6,36.3,3454,21.01.1999,23.02.2004,788.27
Єфремов Віктор Георгійович ФОП,Франківський,Данилишина Д.,4,33.2,Ф-9764-15,21.08.2015,19.08.2018,6969
Життя без залежності ГО,Личаківський,Барвiнських,4,27.3,Л-10027-16,28.03.2016,24.03.2019,382.7
Жіночі перспективи Центр ГО,Франківський,Володимира Великого,22,164.3,Ф-10011-16,22.03.2016,17.03.2019,9116.88
Жінчин О.Г.,Личаківський,Верхратського I.,10,16.4,Л-6856-8,23.12.2008,20.12.2014,522.64
Загороднюк О. І.,Галицький,Калiча Гора, 5а,24.9,Г-9819-15,24.09.2015,23.09.2018,276.3
Зал.відділ соц.захисту упр.соц.зах.деп.гум.пол.ЛМР,Залізничний,Виговського I.,34,438.6,З-6073-8,07.03.2008,07.03.2018,1 грн. в рік
Зал.відділ соц.захисту упр.соц.зах.деп.гум.пол.ЛМР,Залізничний,Виговського I.,34,88.7,З-9206-14,14.10.2014,08.10.2017,1 грн. в рік
Залiзничний РВ ЛМУ УМВСУ у Львiвськiй областi,Залізничний,Кричевського М.,61,75.5,З-7163-9,06.06.2009,26.05.2012,1 грн. за кв. м. в рік
Залiзничний РВ ЛМУ УМВСУ у Львiвськiй областi,Залізничний,Одеська,13,46.3,З-9838-15,29.09.2015,27.09.2018,1 грн. за кв. м. в рік
ЗАЛІЗНИЧНИЙ РАЙОННИЙ СПОРТИВНО-ТЕХНІЧНИЙ КЛУБ ТОВА,Залізничний,Вовчка Марка,21,69.8,З-9690-15,10.07.2015,09.07.2018,4650.79
ЗАХІДНИЙ РЕГІОНАЛЬНИЙ ЦЕНТР СТРАХОВОГО ФОНДУ ДОКУМ,Шевченківський,Тесленка А.,5,291.2,Ш-9318-14,24.12.2014,23.12.2017,1 грн. за кв. м. в рік
ЗАХІДНИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ТУРИЗМУ,Галицький,Вороного М.,5,54.3,Г-9243-14,07.11.2014,06.11.2017,17283.38
ЗАХІДНО-УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ВИРОБНИЧИЙ Ц,Франківський,Мельника А., 5(7),44.3,192,26.04.1993,15.01.2020,314.45
ЗАХІД-ТЕХ-ШОУ ПП,Шевченківський,Кушевича С.,1,27.6,Ш-9261-14,28.11.2014,27.11.2017,301.92
Заяць З.М.,Галицький,Свободи просп.,47,20,3091,21.12.1993,  Безтерміновий  ,75.25
Заяць О. М.,Галицький,Бандери С.,33,19,Г-7288-9,23.09.2009,19.09.2018,276.64
Звiр О.М.,Галицький,Тарнавського М. ген.,42,41,Г-10496-17,22.02.2017,21.02.2020,75.72
Звiр О. В.,Галицький,Кобилянської О.,4,26.4,Г-8932-14,31.01.2014,30.01.2017,418.85
Здорова Галичина ГО,Залізничний,Болгарська,4,1861.9,З-7424-10,01.02.2010,11.01.2020,9004.3
ЗІ   ТзОВ,Личаківський,Медової Печери,1,18.1,Л-9436-15,24.02.2015,23.02.2018,166.61
ЗІ   ТзОВ,Сихівський,Навроцького В.,23,18,С-9434-15,24.02.2015,23.02.2018,162.19
ЗІ   ТзОВ,Франківський,Нечуя-Левицького I.,3,105.4,Ф-10183-16,05.07.2016,05.06.2019,8232.04
ЗІ   ТзОВ,Сихівський,Червоної Калини,57,27.1,С-9435-15,24.02.2015,23.02.2018,244.19
Зінько Я.Л.,Личаківський,Козланюка П.,23,19.7,Л-0995,18.06.2002,13.01.2004,Пільга 
ЗІРОНЬКА ТзОВ,Личаківський,Кривчицька Дорога,55,151.7,Л-8384-12,27.07.2012,27.07.2017,9046.68
Золотий ключик ПП ДНЗ,Залізничний,Журавлина, 3а,688.8,З-9009-14,30.04.2014,30.04.2024,1 грн. в рік освіта
Зорегляд ПП,Шевченківський,Липинського В.,11,164.9,Ш-10292-16,28.11.2016,27.11.2019,5639.18
ЗОРЕПАД-ЛЮКС  ПП,Галицький,Ринок пл.,35,23,Г-9664-15,25.06.2015,24.06.2018,2358.36
ЗОРЯ,Франківський,Багряного I., 34а,54.2,7345,01.06.1995,  Безтерміновий  ,701.66
Зуб Л.А.,Личаківський,Слiпого Й., 15а,44,Л-10122-16,20.05.2016,19.05.2019,508.31
Зуб Р. Ю.,Личаківський,Карпатська,13,33.1,Л-10420-17,05.01.2017,04.01.2020,219.43
Зуб Т. Р.,Галицький,Франка I.,59,28.6,Г-9829-15,25.09.2015,24.09.2018,454.58
Зубарєв В. С.,Галицький,Болгарська,4,24.8,Г-8462-12,29.10.2012,31.08.2017,22.49
"І ЛЮДИ, І ЛЯЛЬКИ   ТЕАТР ЕСТРАДНИХ МІНІАТЮР",Личаківський,Тарнавського М. ген.,26,152.8,Л-9007-14,28.04.2014,24.04.2017,1 грн. в рік
"І ЛЮДИ, І ЛЯЛЬКИ   ТЕАТР ЕСТРАДНИХ МІНІАТЮР",Галицький,Фредра О.,6,118.6,Г-9568-15,05.05.2015,04.05.2018,1 грн. в рік
Іваницька Марія Петрівна ФОП,Сихівський,Драгана М.,1,5.5,С-10437-17,13.01.2017,10.03.2017,2879.53
Іваницька Марія Петрівна ФОП,Сихівський,Драгана М.,16,5.5,С-9439-15,02.03.2015,24.02.2018,168.7
Іваницька Марія Петрівна ФОП,Сихівський,Скрипника М.,15,5.5,С-9762-15,21.08.2015,20.11.2015,5823.04
Іваницька Марія Петрівна ФОП,Сихівський,Червоної Калини,109,5.2,С-10407-16,03.01.2017,27.02.2017,2610.34
Іваницька Марія Петрівна ФОП,Сихівський,Червоної Калини,123,5.8,С-9763-15,21.08.2015,20.11.2015,5698.26
Іваницька Марія Петрівна ФОП,Сихівський,Червоної Калини,85,7.1,С-10438-17,11.01.2017,10.01.2020,210.76
Іваницька Марія Петрівна ФОП,Сихівський,Чукарiна В.,11,5.8,С-9441-15,02.03.2015,24.02.2018,133.28
Іваницький Євген Михайлович ФОП,Шевченківський,Замарстинiвська,41,44.6,Ш-9765-15,21.08.2015,23.01.2017,5881.69
